Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Date of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,User Name,Password
677509,Drs.,Lois,H,Walker,F,lois.walker@hotmail.com,3/29/1981,36.36,60,11/24/2003,Nov,24,Monday,Mon,13.68,168251,lhwalker,DCa}.T}X:v?NP
940761,Ms.,Brenda,S,Robinson,F,brenda.robinson@gmail.com,7/31/1970,47.02,60,7/27/2008,Jul,27,Sunday,Sun,9.01,51063,bsrobinson,TCo\j#Zg;SQ~o
428945,Dr.,Joe,W,Robinson,M,joe.robinson@gmail.com,6/16/1963,54.15,68,8/3/2016,Aug,3,Wednesday,Wed,0.98,50155,jwrobinson,GO4$J8MiEh[A
408351,Drs.,Diane,I,Evans,F,diane.evans@yahoo.com,12/4/1977,39.67,51,4/16/1999,Apr,16,Friday,Fri,18.3,180294,dievans,0gGRtp1HfL<r5
193819,Mr.,Benjamin,R,Russell,M,benjamin.russell@charter.net,4/17/1977,40.31,58,7/25/2013,Jul,25,Thursday,Thu,4.01,117642,brrussell,Rd<Y8cp!@R;*%F
499687,Mr.,Patrick,F,Bailey,M,patrick.bailey@aol.com,9/27/1982,34.86,58,7/22/2005,Jul,22,Friday,Fri,12.02,72305,pfbailey,K7&5aY/*
539712,Ms.,Nancy,T,Baker,F,nancy.baker@bp.com,6/13/1995,22.14,50,9/14/2016,Sep,14,Wednesday,Wed,0.87,98189,ntbaker,xJdKlAcYQhT_BE#
380086,Mrs.,Carol,V,Murphy,F,carol.murphy@gmail.com,6/30/1958,59.12,40,1/28/1983,Jan,28,Friday,Fri,34.52,60918,cvmurphy,Uc+VG%vuZU<k
477616,Hon.,Frances,B,Young,F,frances.young@gmail.com,6/9/1959,58.18,42,4/27/1994,Apr,27,Wednesday,Wed,23.27,121587,fbyoung,K}^USc0l7[A
162402,Hon.,Diana,T,Peterson,F,diana.peterson@hotmail.co.uk,11/13/1987,29.73,60,2/17/2014,Feb,17,Monday,Mon,3.44,43010,dtpeterson,3o8>v&tYxjyEAo
231469,Mr.,Ralph,L,Flores,M,ralph.flores@yahoo.com,2/5/1975,42.5,80,4/14/2009,Apr,14,Tuesday,Tue,8.29,118457,rlflores,7tP\LrSr}\qTqj
153989,Prof.,Jack,C,Alexander,M,jack.alexander@gmail.com,5/19/1995,22.21,61,1/5/2017,Jan,5,Thursday,Thu,0.56,82965,jcalexander,9L*-O1U.9mSUSh
386158,Mrs.,Melissa,Q,King,F,melissa.king@comcast.net,2/24/1972,45.45,55,11/24/2015,Nov,24,Tuesday,Tue,1.68,166892,mqking,FE5i<e-Y}[4f78
301576,Hon.,Wayne,G,Watson,M,wayne.watson@gmail.com,6/26/1996,21.1,87,7/19/2017,Jul,19,Wednesday,Wed,0.02,92758,wgwatson,wM4J{]&j\-eGc
441771,Mrs.,Cheryl,O,Scott,F,cheryl.scott@gmail.com,2/23/1958,59.47,47,11/26/1990,Nov,26,Monday,Mon,26.69,92220,coscott,Vbb+~2N|_yR
528509,Hon.,Paula,G,Diaz,F,paula.diaz@gmail.com,8/22/1966,50.97,42,8/22/1994,Aug,22,Monday,Mon,22.95,152654,pgdiaz,3Kg55luU
912990,Mr.,Joshua,T,Stewart,M,joshua.stewart@yahoo.ca,5/18/1970,47.23,68,9/2/2002,Sep,2,Monday,Mon,14.91,184896,jtstewart,K?vi9BBznj
214352,Ms.,Theresa,G,Lee,F,theresa.lee@gmail.com,12/5/1992,24.66,59,1/19/2015,Jan,19,Monday,Mon,2.52,197537,tglee,JS#hN&Xij\%QEr
890290,Hon.,Julia,S,Scott,F,julia.scott@apple.com,7/15/1959,58.08,56,2/23/2005,Feb,23,Wednesday,Wed,12.43,141518,jsscott,r.:Q7c^Tpb
622406,Mr.,Thomas,Q,Lewis,M,thomas.lewis@gmail.com,10/4/1967,49.85,73,6/7/1998,Jun,7,Sunday,Sun,19.15,73862,tqlewis,y;OJd_Oa#4g|!G
979607,Ms.,Carol,J,Edwards,F,carol.edwards@msn.com,12/14/1994,22.64,56,4/25/2016,Apr,25,Monday,Mon,1.26,93967,cjedwards,wi>v-a9gt
969580,Prof.,Matthew,L,Turner,M,matthew.turner@gmail.com,10/26/1993,23.77,56,2/7/2016,Feb,7,Sunday,Sun,1.47,52237,mlturner,I>tL>d[|lZdi_|^
426038,Hon.,Joan,C,Stewart,F,joan.stewart@yahoo.com,11/20/1972,44.72,56,12/30/2009,Dec,30,Wednesday,Wed,7.58,111673,jcstewart,q@mq.U~D#1MPgZ
