Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Date of Joining,User Name,Password
677509,Drs.,Lois,H,Walker,F,lois.walker@hotmail.com,Donald Walker,Helen Walker,Lewis,3/29/1981,2:31:49 AM,36.36,11/24/2003,lhwalker,DCa}.T}X:v?NP
940761,Ms.,Brenda,S,Robinson,F,brenda.robinson@gmail.com,Raymond Robinson,Judy Robinson,Perry,7/31/1970,12:13:27 PM,47.02,7/27/2008,bsrobinson,TCo\j#Zg;SQ~o
428945,Dr.,Joe,W,Robinson,M,joe.robinson@gmail.com,Scott Robinson,Stephanie Robinson,Taylor,6/16/1963,10:45:36 AM,54.15,8/3/2016,jwrobinson,GO4$J8MiEh[A
408351,Drs.,Diane,I,Evans,F,diane.evans@yahoo.com,Jason Evans,Michelle Evans,Allen,12/4/1977,2:18:45 AM,39.67,4/16/1999,dievans,0gGRtp1HfL<r5
193819,Mr.,Benjamin,R,Russell,M,benjamin.russell@charter.net,Gregory Russell,Elizabeth Russell,Nelson,4/17/1977,5:41:11 PM,40.31,7/25/2013,brrussell,Rd<Y8cp!@R;*%F
499687,Mr.,Patrick,F,Bailey,M,patrick.bailey@aol.com,Ralph Bailey,Laura Bailey,Henderson,9/27/1982,1:12:41 PM,34.86,7/22/2005,pfbailey,K7&5aY/*
539712,Ms.,Nancy,T,Baker,F,nancy.baker@bp.com,Scott Baker,Judy Baker,Thomas,6/13/1995,8:56:32 PM,22.14,9/14/2016,ntbaker,xJdKlAcYQhT_BE#
380086,Mrs.,Carol,V,Murphy,F,carol.murphy@gmail.com,Eugene Murphy,Katherine Murphy,Peterson,6/30/1958,10:39:33 AM,59.12,1/28/1983,cvmurphy,Uc+VG%vuZU<k
477616,Hon.,Frances,B,Young,F,frances.young@gmail.com,Fred Young,Lillian Young,Diaz,6/9/1959,4:38:47 PM,58.18,4/27/1994,fbyoung,K}^USc0l7[A
162402,Hon.,Diana,T,Peterson,F,diana.peterson@hotmail.co.uk,Jonathan Peterson,Christina Peterson,Ross,11/13/1987,3:59:26 AM,29.73,2/17/2014,dtpeterson,3o8>v&tYxjyEAo
231469,Mr.,Ralph,L,Flores,M,ralph.flores@yahoo.com,Terry Flores,Michelle Flores,Moore,2/5/1975,2:15:50 AM,42.5,4/14/2009,rlflores,7tP\LrSr}\qTqj
153989,Prof.,Jack,C,Alexander,M,jack.alexander@gmail.com,Samuel Alexander,Sharon Alexander,Walker,5/19/1995,4:33:57 PM,22.21,1/5/2017,jcalexander,9L*-O1U.9mSUSh
386158,Mrs.,Melissa,Q,King,F,melissa.king@comcast.net,Philip King,Maria King,White,2/24/1972,6:04:57 PM,45.45,11/24/2015,mqking,FE5i<e-Y}[4f78
